"","gene2","cluster","avg_log2FC","gene"
"2","MARCH3","EN-PFC1",1.377813525,"ENSG00000173926"
"3","JUN","EN-PFC1",-1.744804969,"ENSG00000177606"
"138","ABLIM3","EN-PFC1",1.870696444,"ENSG00000173210"
"140","AC004158.2","EN-PFC1",1.225654233,NA
"146","AC079233.1","EN-PFC1",1.340611937,NA
"148","AC253572.1","EN-PFC1",-1.075379012,NA
"162","ADAMTSL1","EN-PFC1",1.86437757,"ENSG00000178031"
"163","ADCY10P1","EN-PFC1",1.020261148,"ENSG00000161912"
"164","ADCY1","EN-PFC1",1.657567715,"ENSG00000164742"
"165","ADCY2","EN-PFC1",1.014530938,"ENSG00000078295"
"168","ADRBK2","EN-PFC1",1.560159509,"ENSG00000100077"
"171","AFF3","EN-PFC1",1.241378735,"ENSG00000144218"
"172","AGAP1","EN-PFC1",1.099856125,"ENSG00000157985"
"180","AKT3","EN-PFC1",1.19190635,"ENSG00000117020"
"183","ALDOA","EN-PFC1",-1.107816023,"ENSG00000149925"
"189","AMOTL2","EN-PFC1",-1.358252353,"ENSG00000114019"
"193","ANK3","EN-PFC1",1.06799731,"ENSG00000151150"
"200","ANO4","EN-PFC1",1.835777233,"ENSG00000151572"
"201","ANP32B","EN-PFC1",-1.917422532,"ENSG00000136938"
"202","ANP32E","EN-PFC1",-1.449943655,"ENSG00000143401"
"203","ANXA5","EN-PFC1",-3.86033554,"ENSG00000164111"
"207","APBA1","EN-PFC1",1.146926777,"ENSG00000107282"
"208","APBB2","EN-PFC1",-1.841058443,"ENSG00000163697"
"211","ARHGAP20","EN-PFC1",2.228984284,"ENSG00000137727"
"212","ARHGAP44","EN-PFC1",1.64786106,"ENSG00000006740"
"220","ARL4C","EN-PFC1",-1.336007343,"ENSG00000188042"
"224","ARNT2","EN-PFC1",-1.909423535,"ENSG00000172379"
"225","ARPP21","EN-PFC1",1.137776816,"ENSG00000172995"
"226","ARX","EN-PFC1",-3.808893307,"ENSG00000004848"
"232","ASTN2","EN-PFC1",2.827172875,"ENSG00000148219"
"236","ATP1A3","EN-PFC1",1.379198335,"ENSG00000105409"
"239","ATP2B1","EN-PFC1",1.300978656,"ENSG00000070961"
"240","ATP2C2","EN-PFC1",1.158351792,"ENSG00000064270"
"260","AXL","EN-PFC1",-4.287109904,"ENSG00000167601"
"261","B2M","EN-PFC1",-4.038515071,"ENSG00000166710"
"262","B3GALNT1","EN-PFC1",1.092619584,"ENSG00000169255"
"263","B3GALT2","EN-PFC1",1.158400854,"ENSG00000162630"
"264","B3GAT1","EN-PFC1",1.760540176,"ENSG00000109956"
"268","BACE2","EN-PFC1",2.044780303,"ENSG00000182240"
"269","BACH2","EN-PFC1",1.02971967,"ENSG00000112182"
"271","BAI3","EN-PFC1",1.208688623,"ENSG00000135298"
"273","BBX","EN-PFC1",-2.15078632,"ENSG00000114439"
"274","BCAP29","EN-PFC1",1.055259051,"ENSG00000075790"
"275","BCAS3","EN-PFC1",1.416344868,"ENSG00000141376"
"278","BCL11B","EN-PFC1",1.127392664,"ENSG00000127152"
"285","BLOC1S1","EN-PFC1",-1.562576025,"ENSG00000135441"
"288","BRINP1","EN-PFC1",1.358574181,"ENSG00000078725"
"292","BTG1","EN-PFC1",-1.475636164,"ENSG00000133639"
"293","BTG3","EN-PFC1",-1.433445818,"ENSG00000154640"
"298","C14orf132","EN-PFC1",-1.836746352,"ENSG00000227051"
"301","C14orf37","EN-PFC1",1.118870868,NA
"304","C1orf61","EN-PFC1",-1.387849249,NA
"305","C1orf95","EN-PFC1",2.706446211,NA
"307","C2orf80","EN-PFC1",1.08957967,"ENSG00000188674"
"313","C8orf34","EN-PFC1",3.198059347,"ENSG00000165084"
"314","C9orf16","EN-PFC1",1.120417542,NA
"315","CACNA1A","EN-PFC1",1.740176439,"ENSG00000141837"
"321","CACNB4","EN-PFC1",1.07015235,"ENSG00000182389"
"322","CACNG3","EN-PFC1",2.716319646,"ENSG00000006116"
"325","CADM2","EN-PFC1",1.200681656,"ENSG00000175161"
"328","CALD1","EN-PFC1",-1.229945982,"ENSG00000122786"
"331","CALN1","EN-PFC1",2.200839432,"ENSG00000183166"
"332","CAMK2B","EN-PFC1",1.306450808,"ENSG00000058404"
"336","CAMKV","EN-PFC1",1.841110818,"ENSG00000164076"
"339","CARD10","EN-PFC1",3.39425906,"ENSG00000100065"
"341","CBLN4","EN-PFC1",3.207309912,"ENSG00000054803"
"347","CBWD7","EN-PFC1",1.156811977,"ENSG00000215126"
"350","CCDC144B","EN-PFC1",1.010087998,"ENSG00000154874"
"351","CCDC171","EN-PFC1",1.352561688,"ENSG00000164989"
"355","CCND2","EN-PFC1",-1.403486028,"ENSG00000118971"
"359","CCSAP","EN-PFC1",1.190801635,"ENSG00000154429"
"366","CDC42EP3","EN-PFC1",-1.442003958,"ENSG00000163171"
"367","CDH10","EN-PFC1",2.199059437,"ENSG00000040731"
"368","CDH13","EN-PFC1",1.64941782,"ENSG00000140945"
"369","CDH18","EN-PFC1",2.823600355,"ENSG00000145526"
"370","CDH6","EN-PFC1",2.527957569,"ENSG00000113361"
"371","CDHR3","EN-PFC1",1.60474257,"ENSG00000128536"
"381","CELF4","EN-PFC1",1.011142247,"ENSG00000101489"
"383","CENPF","EN-PFC1",-4.15843604,"ENSG00000117724"
"390","CFL2","EN-PFC1",-1.673648449,"ENSG00000165410"
"391","CFTR","EN-PFC1",1.314539436,"ENSG00000001626"
"395","CHD7","EN-PFC1",-2.285186912,"ENSG00000171316"
"400","CHPT1","EN-PFC1",1.458785524,"ENSG00000111666"
"403","CKS2","EN-PFC1",-1.777008549,"ENSG00000123975"
"405","CLCN4","EN-PFC1",1.7903357,"ENSG00000073464"
"406","CLIC4","EN-PFC1",-1.452118683,"ENSG00000169504"
"411","CLSTN2","EN-PFC1",3.251926769,"ENSG00000158258"
"412","CLU","EN-PFC1",-4.31648874,"ENSG00000120885"
"418","CNN3","EN-PFC1",-1.429795555,"ENSG00000117519"
"421","CNR1","EN-PFC1",-2.324021415,"ENSG00000118432"
"422","CNRIP1","EN-PFC1",1.019168136,"ENSG00000119865"
"423","CNTN1","EN-PFC1",2.074783708,"ENSG00000018236"
"424","CNTN3","EN-PFC1",1.699395913,"ENSG00000113805"
"425","CNTNAP2","EN-PFC1",1.446182603,"ENSG00000174469"
"426","CNTNAP3","EN-PFC1",2.773765989,"ENSG00000106714"
"431","COL11A1","EN-PFC1",-2.007085947,"ENSG00000060718"
"432","COL19A1","EN-PFC1",3.878752476,"ENSG00000082293"
"433","COL25A1","EN-PFC1",3.542139483,"ENSG00000188517"
"434","COMMD2","EN-PFC1",1.724338884,"ENSG00000114744"
"441","CORO1C","EN-PFC1",-1.106438014,"ENSG00000110880"
"445","CPEB2","EN-PFC1",1.355745,"ENSG00000137449"
"448","CPNE5","EN-PFC1",2.114860138,"ENSG00000124772"
"450","CRB1","EN-PFC1",-2.745904725,"ENSG00000134376"
"451","CREB5","EN-PFC1",-5.115255403,"ENSG00000146592"
"454","CRIM1","EN-PFC1",-1.754833577,"ENSG00000150938"
"456","CRYM","EN-PFC1",2.971415689,"ENSG00000103316"
"457","CSGALNACT1","EN-PFC1",2.023349752,"ENSG00000147408"
"458","CSMD1","EN-PFC1",1.692181552,"ENSG00000183117"
"460","CSMD3","EN-PFC1",2.115064681,"ENSG00000164796"
"461","CSRNP3","EN-PFC1",1.129474757,"ENSG00000178662"
"462","CTA.228A9.3","EN-PFC1",1.02912806,NA
"472","CTNND2","EN-PFC1",1.405011161,"ENSG00000169862"
"474","CTTNBP2","EN-PFC1",1.697067785,"ENSG00000077063"
"476","CUX1","EN-PFC1",-1.734280207,"ENSG00000257923"
"477","CXADR","EN-PFC1",1.065370861,"ENSG00000154639"
"480","CYP20A1","EN-PFC1",-1.346855874,"ENSG00000119004"
"481","CYP26A1","EN-PFC1",4.077483916,"ENSG00000095596"
"483","DAAM1","EN-PFC1",1.067440689,"ENSG00000100592"
"484","DAB1","EN-PFC1",1.301794035,"ENSG00000173406"
"485","DAB1.AS1","EN-PFC1",2.312644539,NA
"488","DAP","EN-PFC1",1.233716539,"ENSG00000112977"
"489","DAPK1","EN-PFC1",-1.373949221,"ENSG00000196730"
"497","DDAH1","EN-PFC1",-3.063317601,"ENSG00000153904"
"498","DDAH2","EN-PFC1",-1.064102269,"ENSG00000213722"
"500","DEAR","EN-PFC1",1.664156428,"ENSG00000270751"
"501","DEK","EN-PFC1",-1.091447515,"ENSG00000124795"
"502","DFNA5","EN-PFC1",1.323246349,"ENSG00000105928"
"504","DGKI","EN-PFC1",1.002915448,"ENSG00000157680"
"506","DHX8","EN-PFC1",-1.121742137,"ENSG00000067596"
"509","DLEU2","EN-PFC1",-2.816465177,"ENSG00000231607"
"510","DLG1","EN-PFC1",1.224440325,"ENSG00000075711"
"511","DLG2","EN-PFC1",1.145265267,"ENSG00000150672"
"514","DLX2","EN-PFC1",-4.573358183,"ENSG00000115844"
"515","DLX6.AS1","EN-PFC1",-7.799432999,NA
"517","DMD","EN-PFC1",1.709727383,"ENSG00000198947"
"519","DNAJB1","EN-PFC1",-2.17352414,"ENSG00000132002"
"524","DNM3","EN-PFC1",1.46737306,"ENSG00000197959"
"528","DOCK9","EN-PFC1",1.935813598,"ENSG00000088387"
"529","DOK6","EN-PFC1",1.28278663,"ENSG00000206052"
"531","DPF3","EN-PFC1",1.49429273,"ENSG00000205683"
"532","DPP10","EN-PFC1",2.77641141,"ENSG00000175497"
"534","DPY19L1","EN-PFC1",-3.141659568,"ENSG00000173852"
"535","DPY19L2","EN-PFC1",1.35182085,"ENSG00000177990"
"537","DSCAM","EN-PFC1",1.058693324,"ENSG00000171587"
"539","DSEL","EN-PFC1",1.080832677,"ENSG00000171451"
"542","DUSP1","EN-PFC1",-1.479201849,"ENSG00000120129"
"543","DYNC1I1","EN-PFC1",1.163431588,"ENSG00000158560"
"547","DYRK2","EN-PFC1",1.221484359,"ENSG00000127334"
"556","EEF1D","EN-PFC1",-1.009640449,"ENSG00000104529"
"559","EFNA5","EN-PFC1",1.224659398,"ENSG00000184349"
"561","EGFEM1P","EN-PFC1",2.835989004,NA
"562","EGR1","EN-PFC1",-3.102608997,"ENSG00000120738"
"569","ELMOD1","EN-PFC1",2.17435705,"ENSG00000110675"
"570","ELOVL4","EN-PFC1",1.222153701,"ENSG00000118402"
"571","EML1","EN-PFC1",1.281159052,"ENSG00000066629"
"581","EPHA3","EN-PFC1",-5.014869714,"ENSG00000044524"
"582","EPHA4","EN-PFC1",-3.05777259,"ENSG00000116106"
"583","EPHA7","EN-PFC1",1.708217401,"ENSG00000135333"
"587","ERBB4","EN-PFC1",-6.347706562,"ENSG00000178568"
"588","ERC1","EN-PFC1",1.049424138,"ENSG00000082805"
"594","EXOC4","EN-PFC1",-1.924691623,"ENSG00000131558"
"596","EZR","EN-PFC1",-2.020639863,"ENSG00000092820"
"599","FABP7","EN-PFC1",-3.014674163,"ENSG00000164434"
"610","FAM184A","EN-PFC1",1.576101233,"ENSG00000111879"
"611","FAM196A","EN-PFC1",1.364147976,"ENSG00000188916"
"616","FAM3C","EN-PFC1",1.429903485,"ENSG00000196937"
"618","FAM49A","EN-PFC1",1.186762004,"ENSG00000197872"
"619","FAM60A","EN-PFC1",-2.079821116,"ENSG00000276371"
"624","FAT3","EN-PFC1",1.593803229,"ENSG00000165323"
"625","FAT4","EN-PFC1",1.64119616,"ENSG00000196159"
"627","FBN3","EN-PFC1",1.059037919,"ENSG00000142449"
"633","FBXW7","EN-PFC1",1.493599984,"ENSG00000109670"
"635","FDFT1","EN-PFC1",-1.238230694,"ENSG00000079459"
"636","FERMT2","EN-PFC1",-1.668923815,"ENSG00000073712"
"637","FEZF2","EN-PFC1",1.68532354,"ENSG00000153266"
"638","FGF12","EN-PFC1",1.123011969,"ENSG00000114279"
"640","FGFR1","EN-PFC1",-1.535271947,"ENSG00000077782"
"642","FGFR2","EN-PFC1",-4.566336245,"ENSG00000066468"
"644","FKBP1B","EN-PFC1",1.052818596,"ENSG00000119782"
"645","FKBP9","EN-PFC1",-1.623290362,"ENSG00000122642"
"648","FN1","EN-PFC1",-1.075952981,"ENSG00000115414"
"651","FOS","EN-PFC1",-2.443000564,"ENSG00000170345"
"652","FOSB","EN-PFC1",-3.613977234,"ENSG00000125740"
"653","FOSL2","EN-PFC1",2.12478054,"ENSG00000075426"
"656","FRMD3","EN-PFC1",1.543928294,"ENSG00000172159"
"658","FRRS1L","EN-PFC1",1.467741711,"ENSG00000260230"
"659","FSTL5","EN-PFC1",1.108764674,"ENSG00000168843"
"664","FUS","EN-PFC1",-1.281318675,"ENSG00000089280"
"670","GABBR2","EN-PFC1",1.560921084,"ENSG00000136928"
"672","GABRA2","EN-PFC1",1.129578727,"ENSG00000151834"
"673","GABRA3","EN-PFC1",1.678514033,"ENSG00000011677"
"674","GABRA5","EN-PFC1",2.585209689,"ENSG00000186297"
"676","GABRG3","EN-PFC1",3.051176134,"ENSG00000182256"
"677","GAD1","EN-PFC1",-5.749109639,"ENSG00000128683"
"682","GAREM","EN-PFC1",1.436784881,"ENSG00000141441"
"683","GARNL3","EN-PFC1",2.153818478,"ENSG00000136895"
"684","GAS7","EN-PFC1",2.742465694,"ENSG00000007237"
"690","GFOD1","EN-PFC1",1.275725634,"ENSG00000145990"
"695","GLB1L2","EN-PFC1",1.1173574,"ENSG00000149328"
"698","GLRB","EN-PFC1",1.279779767,"ENSG00000109738"
"701","GLUL","EN-PFC1",-1.514296065,"ENSG00000135821"
"704","GNAL","EN-PFC1",1.415150235,"ENSG00000141404"
"710","GNG5","EN-PFC1",-3.373162387,"ENSG00000174021"
"711","GNG8","EN-PFC1",2.109678553,"ENSG00000167414"
"715","GOLIM4","EN-PFC1",-1.167807114,"ENSG00000173905"
"717","GPCPD1","EN-PFC1",-1.335725623,"ENSG00000125772"
"718","GPD1L","EN-PFC1",1.312510498,"ENSG00000152642"
"722","GPR12","EN-PFC1",2.113351758,"ENSG00000132975"
"723","GPR125","EN-PFC1",-1.153838365,"ENSG00000152990"
"724","GPR22","EN-PFC1",1.770590211,"ENSG00000172209"
"726","GPR37","EN-PFC1",2.708841381,"ENSG00000170775"
"727","GPR85","EN-PFC1",1.428542542,"ENSG00000164604"
"728","GPR98","EN-PFC1",-2.020475001,"ENSG00000164199"
"729","GPRIN3","EN-PFC1",2.252382221,"ENSG00000185477"
"730","GRIA2","EN-PFC1",1.609042194,"ENSG00000120251"
"731","GRIK2","EN-PFC1",2.662306782,"ENSG00000164418"
"732","GRIK3","EN-PFC1",1.798486648,"ENSG00000163873"
"733","GRIN2B","EN-PFC1",2.372015674,"ENSG00000273079"
"735","GRIP1","EN-PFC1",1.465233873,"ENSG00000155974"
"739","GRM5","EN-PFC1",2.650687576,"ENSG00000168959"
"744","GUCY1A2","EN-PFC1",2.004693463,"ENSG00000152402"
"745","GUCY1A3","EN-PFC1",2.045421965,"ENSG00000164116"
"746","GUCY1B3","EN-PFC1",1.526155712,"ENSG00000061918"
"748","H2AFZ","EN-PFC1",-1.19355778,"ENSG00000164032"
"753","HCRTR2","EN-PFC1",4.57439041,"ENSG00000137252"
"757","HELLS","EN-PFC1",-1.398333068,"ENSG00000119969"
"763","HES6","EN-PFC1",-2.428124071,"ENSG00000144485"
"766","HIST1H1E","EN-PFC1",-1.969731532,"ENSG00000168298"
"767","HIST1H4C","EN-PFC1",-1.207205995,"ENSG00000197061"
"769","HIVEP2","EN-PFC1",1.390181058,"ENSG00000010818"
"773","HMGB2","EN-PFC1",-5.458400756,"ENSG00000164104"
"774","HMGB3","EN-PFC1",-1.173697169,"ENSG00000029993"
"775","HMGCS1","EN-PFC1",-1.154148826,"ENSG00000112972"
"776","HMGN2","EN-PFC1",-1.046026991,"ENSG00000198830"
"778","HMGN3","EN-PFC1",-1.03300561,"ENSG00000118418"
"780","HNRNPA1L2","EN-PFC1",-1.479462751,"ENSG00000139675"
"787","HNRNPL","EN-PFC1",-1.011047205,"ENSG00000104824"
"790","HOMER2","EN-PFC1",1.338423142,"ENSG00000103942"
"791","HOOK1","EN-PFC1",2.07548371,"ENSG00000134709"
"792","HS3ST4","EN-PFC1",3.48058909,"ENSG00000182601"
"798","HSPA12A","EN-PFC1",2.610814035,"ENSG00000165868"
"800","HSPA1A","EN-PFC1",-1.317335053,"ENSG00000204389"
"803","HSPH1","EN-PFC1",-1.111908254,"ENSG00000120694"
"804","HUNK","EN-PFC1",-1.482374182,"ENSG00000142149"
"811","IGSF21","EN-PFC1",2.412137143,"ENSG00000117154"
"813","IKZF2","EN-PFC1",1.25377282,"ENSG00000030419"
"815","ING3","EN-PFC1",-1.469936375,"ENSG00000071243"
"819","IQCA1","EN-PFC1",2.310853964,"ENSG00000132321"
"821","ISLR2","EN-PFC1",1.031126362,"ENSG00000167178"
"823","ITGB8","EN-PFC1",-1.724746638,"ENSG00000105855"
"827","JAK1","EN-PFC1",-1.881680393,"ENSG00000162434"
"829","JAM2","EN-PFC1",-3.446079707,"ENSG00000154721"
"831","JUND","EN-PFC1",-1.778948267,"ENSG00000130522"
"834","KAZN","EN-PFC1",1.836701768,"ENSG00000189337"
"839","KCNG1","EN-PFC1",2.288677925,"ENSG00000026559"
"841","KCNJ3","EN-PFC1",1.70219043,"ENSG00000162989"
"842","KCNJ6","EN-PFC1",1.818290306,"ENSG00000157542"
"843","KCNMA1","EN-PFC1",2.3100738,"ENSG00000156113"
"845","KCNN2","EN-PFC1",2.092371082,"ENSG00000080709"
"846","KCTD12","EN-PFC1",1.95214483,"ENSG00000178695"
"849","KHDRBS2","EN-PFC1",1.022867604,"ENSG00000112232"
"850","KHDRBS3","EN-PFC1",2.495305492,"ENSG00000131773"
"852","KIAA0319","EN-PFC1",2.115354884,"ENSG00000137261"
"854","KIAA0922","EN-PFC1",-1.812080464,"ENSG00000121210"
"857","KIAA1244","EN-PFC1",1.367010469,"ENSG00000112379"
"858","KIAA1377","EN-PFC1",1.430788957,"ENSG00000110318"
"859","KIAA1456","EN-PFC1",1.789231281,"ENSG00000284872"
"860","KIAA1467","EN-PFC1",1.042669644,"ENSG00000084444"
"864","KIAA1644","EN-PFC1",1.212979988,"ENSG00000138944"
"872","KIT","EN-PFC1",1.288329717,"ENSG00000157404"
"874","KLF6","EN-PFC1",-2.088657451,"ENSG00000067082"
"875","KLHL1","EN-PFC1",3.0472879,"ENSG00000150361"
"877","KLHL32","EN-PFC1",1.599786323,"ENSG00000186231"
"879","KLHL5","EN-PFC1",1.480061721,"ENSG00000109790"
"886","LCORL","EN-PFC1",1.941706584,"ENSG00000178177"
"888","LDLR","EN-PFC1",-2.85039421,"ENSG00000130164"
"890","LHX2","EN-PFC1",-3.371804564,"ENSG00000106689"
"893","LIN7A","EN-PFC1",1.54843236,"ENSG00000111052"
"895","LINC00478","EN-PFC1",-1.915569086,"ENSG00000215386"
"896","LINC00599","EN-PFC1",1.22592745,"ENSG00000284859"
"897","LINC00641","EN-PFC1",1.133473784,"ENSG00000258441"
"901","LINC00710","EN-PFC1",1.319379519,"ENSG00000229240"
"902","LINC01102","EN-PFC1",-3.247744769,"ENSG00000235597"
"904","LINC01158","EN-PFC1",-4.947784051,"ENSG00000233639"
"906","LINGO1","EN-PFC1",1.057051003,"ENSG00000169783"
"907","LINGO2","EN-PFC1",2.715230087,"ENSG00000174482"
"912","LMO3","EN-PFC1",2.848895577,"ENSG00000048540"
"913","LMO7","EN-PFC1",2.317520918,"ENSG00000136153"
"916","LPAR2","EN-PFC1",-2.22285515,"ENSG00000064547"
"922","LPPR5","EN-PFC1",1.14561888,"ENSG00000117598"
"923","LRCH1","EN-PFC1",1.051164941,"ENSG00000136141"
"926","LRP1B","EN-PFC1",2.843860262,"ENSG00000168702"
"928","LRRC1","EN-PFC1",1.810055098,"ENSG00000137269"
"929","LRRC16A","EN-PFC1",1.672319051,"ENSG00000079691"
"937","LRRTM4","EN-PFC1",2.211369883,"ENSG00000176204"
"939","LSM11","EN-PFC1",1.316864316,"ENSG00000155858"
"945","MACROD2","EN-PFC1",2.914196945,"ENSG00000172264"
"946","MACROD2.AS1","EN-PFC1",2.636262593,NA
"956","MAP3K13","EN-PFC1",-1.085323477,"ENSG00000073803"
"959","MAP7D2","EN-PFC1",1.31009615,"ENSG00000184368"
"970","MCL1","EN-PFC1",-1.779883478,"ENSG00000143384"
"971","MCM7","EN-PFC1",-1.002650376,"ENSG00000166508"
"972","MCTP1","EN-PFC1",1.478508858,"ENSG00000175471"
"975","MDK","EN-PFC1",-2.186775057,"ENSG00000110492"
"979","MED13L","EN-PFC1",1.090477253,"ENSG00000123066"
"980","MEF2C","EN-PFC1",1.512987554,"ENSG00000081189"
"982","MEIS1","EN-PFC1",-3.388511049,"ENSG00000143995"
"983","MEIS2","EN-PFC1",-1.839939758,"ENSG00000134138"
"992","MGAT4C","EN-PFC1",1.255016628,"ENSG00000182050"
"993","MGLL","EN-PFC1",1.815097052,"ENSG00000074416"
"997","MIR137HG","EN-PFC1",1.381649248,"ENSG00000225206"
"998","MIR4477A","EN-PFC1",1.137394816,"ENSG00000276029"
"1000","MIR6723","EN-PFC1",-1.365430416,NA
"1004","MLIP","EN-PFC1",3.340528003,"ENSG00000146147"
"1006","MLLT4.AS1","EN-PFC1",1.102339928,NA
"1008","MN1","EN-PFC1",-2.703237007,"ENSG00000169184"
"1010","MOB3B","EN-PFC1",-4.472645273,"ENSG00000120162"
"1014","MPP6","EN-PFC1",1.573466485,"ENSG00000135698"
"1018","MSI1","EN-PFC1",-1.188266943,"ENSG00000135097"
"1019","MSI2","EN-PFC1",-1.191870522,"ENSG00000153944"
"1023","MT.RNR1","EN-PFC1",-1.232287948,NA
"1025","MT.TP","EN-PFC1",-1.098580928,NA
"1040","MTUS1","EN-PFC1",1.234797121,"ENSG00000129422"
"1041","MTUS2","EN-PFC1",2.22515129,"ENSG00000132938"
"1042","MYL6","EN-PFC1",-1.165805118,"ENSG00000092841"
"1043","MYO10","EN-PFC1",-3.357603105,"ENSG00000145555"
"1045","MYO5B","EN-PFC1",2.153066982,"ENSG00000167306"
"1049","NAV2","EN-PFC1",1.351893467,"ENSG00000166833"
"1051","NBEA","EN-PFC1",1.181988653,"ENSG00000172915"
"1053","NBPF14","EN-PFC1",-1.36567059,"ENSG00000270629"
"1056","NCDN","EN-PFC1",1.120340714,"ENSG00000020129"
"1061","NDFIP1","EN-PFC1",1.171946344,"ENSG00000131507"
"1062","NDRG1","EN-PFC1",1.013915116,"ENSG00000104419"
"1070","NEGR1","EN-PFC1",1.198410337,"ENSG00000172260"
"1075","NFE2L2","EN-PFC1",-2.83719608,"ENSG00000116044"
"1076","NFIA","EN-PFC1",1.059325619,"ENSG00000162599"
"1077","NFIA.AS1","EN-PFC1",1.611464853,NA
"1080","NHLH2","EN-PFC1",2.888685275,"ENSG00000177551"
"1081","NHSL1","EN-PFC1",-2.573367785,"ENSG00000135540"
"1082","NIN","EN-PFC1",1.400786158,"ENSG00000100503"
"1084","NLGN1","EN-PFC1",1.445718702,"ENSG00000169760"
"1085","NLGN1.AS1","EN-PFC1",1.287718163,NA
"1086","NLGN4X","EN-PFC1",-2.075354708,"ENSG00000146938"
"1092","NOVA1","EN-PFC1",1.713671392,"ENSG00000139910"
"1095","NPR3","EN-PFC1",3.228429246,"ENSG00000113389"
"1098","NR2F1","EN-PFC1",-1.550999451,"ENSG00000175745"
"1099","NR4A2","EN-PFC1",2.740858927,"ENSG00000153234"
"1101","NRCAM","EN-PFC1",2.082892122,"ENSG00000091129"
"1103","NRG3","EN-PFC1",1.808293547,"ENSG00000185737"
"1104","NRP1","EN-PFC1",-4.986470125,"ENSG00000099250"
"1105","NRP2","EN-PFC1",1.739116182,"ENSG00000118257"
"1108","NRXN3","EN-PFC1",-2.844081793,"ENSG00000021645"
"1109","NSF","EN-PFC1",1.221524866,"ENSG00000073969"
"1112","NTRK2","EN-PFC1",1.196447063,"ENSG00000148053"
"1113","NTRK3","EN-PFC1",1.766718952,"ENSG00000140538"
"1119","NYAP2","EN-PFC1",1.492334265,"ENSG00000144460"
"1123","OLFM1","EN-PFC1",1.083777553,"ENSG00000130558"
"1124","OLFM3","EN-PFC1",2.619428573,"ENSG00000118733"
"1125","OPCML","EN-PFC1",1.92898809,"ENSG00000183715"
"1126","OPHN1","EN-PFC1",1.067019908,"ENSG00000079482"
"1131","OSBPL3","EN-PFC1",1.323478324,"ENSG00000070882"
"1137","PAG1","EN-PFC1",-2.362674872,"ENSG00000076641"
"1141","PALLD","EN-PFC1",-3.316465306,"ENSG00000129116"
"1144","PAPPA","EN-PFC1",2.982542266,"ENSG00000182752"
"1145","PAPPA2","EN-PFC1",2.255609823,"ENSG00000116183"
"1147","PARVB","EN-PFC1",1.506844483,"ENSG00000188677"
"1148","PAX6","EN-PFC1",-3.360067558,"ENSG00000007372"
"1151","PCDH10","EN-PFC1",1.202664922,"ENSG00000138650"
"1152","PCDH17","EN-PFC1",1.400693434,"ENSG00000118946"
"1155","PCLO","EN-PFC1",1.01434599,"ENSG00000186472"
"1160","PCSK2","EN-PFC1",2.45717495,"ENSG00000125851"
"1161","PCSK5","EN-PFC1",2.350131742,"ENSG00000099139"
"1163","PDE1A","EN-PFC1",2.055187812,"ENSG00000115252"
"1167","PDE8B","EN-PFC1",1.122148621,"ENSG00000113231"
"1168","PDGFC","EN-PFC1",1.417312259,"ENSG00000145431"
"1169","PDIA6","EN-PFC1",-2.075566706,"ENSG00000143870"
"1172","PDZD2","EN-PFC1",2.334948677,"ENSG00000133401"
"1173","PEA15","EN-PFC1",-1.264658969,"ENSG00000162734"
"1179","PER2","EN-PFC1",-1.185102944,"ENSG00000132326"
"1183","PGM2L1","EN-PFC1",1.152093541,"ENSG00000165434"
"1187","PHLDA1","EN-PFC1",-1.75750918,"ENSG00000139289"
"1192","PIGP","EN-PFC1",1.041119762,"ENSG00000185808"
"1196","PITPNC1","EN-PFC1",1.205990404,"ENSG00000154217"
"1202","PLCB1","EN-PFC1",1.150200491,"ENSG00000182621"
"1203","PLCL2","EN-PFC1",1.366262919,"ENSG00000154822"
"1205","PLEKHA5","EN-PFC1",1.518254713,"ENSG00000052126"
"1206","PLS3","EN-PFC1",-4.060697866,"ENSG00000102024"
"1207","PLXDC2","EN-PFC1",1.75379342,"ENSG00000120594"
"1209","PLXNA4","EN-PFC1",-2.545621681,"ENSG00000221866"
"1212","PON2","EN-PFC1",-4.509191079,"ENSG00000105854"
"1215","POU3F2","EN-PFC1",-2.469825123,"ENSG00000184486"
"1216","POU3F3","EN-PFC1",-2.304302705,"ENSG00000198914"
"1221","PPM1E","EN-PFC1",1.286460184,"ENSG00000175175"
"1222","PPM1L","EN-PFC1",1.395936023,"ENSG00000163590"
"1232","PRDM8","EN-PFC1",1.07544166,"ENSG00000152784"
"1235","PRICKLE1","EN-PFC1",1.074408482,"ENSG00000139174"
"1236","PRICKLE2","EN-PFC1",2.345772354,"ENSG00000163637"
"1238","PRKACB","EN-PFC1",1.299834599,"ENSG00000142875"
"1240","PRKAR2B","EN-PFC1",1.202581842,"ENSG00000005249"
"1241","PRKCB","EN-PFC1",1.376612522,"ENSG00000166501"
"1245","PRNP","EN-PFC1",1.471435625,"ENSG00000171867"
"1246","PRPF38B","EN-PFC1",-1.393816553,"ENSG00000134186"
"1250","PSD2","EN-PFC1",1.327416458,"ENSG00000146005"
"1262","PTN","EN-PFC1",-2.926244136,"ENSG00000105894"
"1270","QKI","EN-PFC1",-1.013582778,"ENSG00000112531"
"1282","RAB9B","EN-PFC1",1.059787613,"ENSG00000123570"
"1290","RALYL","EN-PFC1",1.819624427,"ENSG00000184672"
"1291","RAP2A","EN-PFC1",1.152744864,"ENSG00000125249"
